seed,status,wall_s,success,upright,reached_top,state,n_climbed,mi,n_moves,dist,climb,fell_at,grf_pic,clear_min,ctrl_mean,ctrl_p99,qp_feas
0,ok,30.128596782684326,False,False,False,SWING,2,7,8,1.319515297700205,-0.4470282669503285,20.723000000002344,6520.942858638815,0.0,1.205605457648657,3.48503400688059,100.0
1,ok,28.689358234405518,False,False,True,DONE,3,9,8,0.3345173012324939,-0.3762942974556004,23.58500000000584,6781.712978284731,0.0,0.9995228280702763,2.4543519946746515,100.0
2,ok,21.68393874168396,False,False,False,TRANSFER,2,7,8,0.0838674064656876,-0.36833851129598616,17.986999999999,12835.926512272952,0.0,0.9873970034162557,2.385154000949114,100.0
3,ok,24.650956630706787,False,False,False,TRANSFER,2,7,8,0.47169343659872043,-0.4240351991582403,19.66400000000105,9326.563104024111,0.0,1.0328073179821098,3.0284109804779287,100.0
4,ok,25.586697101593018,False,False,False,TRANSFER,2,7,8,-0.011386954535026441,-0.39979959635389095,19.931000000001376,10215.962058435072,0.0,1.065487276017154,2.596399988397027,100.0
5,ok,101.50821161270142,False,False,True,SWING,3,8,8,1.9446437966966807,-0.29393379150494703,23.58500000000584,10100.179309063946,0.0,2.3487780298128125,4.130706006253603,100.0
6,ok,24.751286506652832,False,False,False,TRANSFER,2,7,8,0.5189502147809698,-0.43832103809296974,19.423000000000755,7527.720613410827,0.0,1.0555849663928545,3.040133988833986,100.0
7,ok,28.606236696243286,False,False,True,TRANSFER,3,8,8,0.6672173551822581,-0.46053686165506574,22.547000000004573,7451.441219020864,0.0,1.0498404977131879,2.735643992200497,100.0
8,ok,28.970825672149658,True,True,True,DONE,3,9,8,1.068615126840597,0.26798091198422147,-1.0,3761.1054234359653,0.0,0.9034701491382071,1.7973679781425738,100.0
9,ok,25.45833683013916,False,False,False,TRANSFER,2,7,8,-0.14500522656990278,-0.47157674148455186,18.979000000000212,5830.747602334028,0.0,1.0455100327060296,3.307728005165698,100.0
10,ok,27.748970985412598,False,False,True,TRANSFER,3,8,8,-0.11402224535113528,-0.4307164534031285,21.779000000003634,9271.380824684422,0.0,1.0582970982129822,2.8846259851707186,100.0
11,ok,31.16144633293152,True,True,True,DONE,3,9,8,1.068147436217588,0.2680030172261548,-1.0,5094.233858601482,0.0,0.9739125785750983,1.893768003210426,100.0
12,ok,70.46600556373596,False,False,True,DONE,3,9,8,0.5933995708692212,-0.3973864655643734,24.980000000007546,13561.111360593042,0.0,1.3304444105610274,3.012929008109495,100.0
13,ok,34.044302225112915,True,True,True,DONE,3,9,8,1.1089782007932492,0.26865751312934105,-1.0,6411.210985444463,0.0,1.0874175163146356,2.193656997987999,100.0
14,ok,29.759889364242554,True,True,True,DONE,3,9,8,1.0848498053155748,0.2681225978920837,-1.0,6705.8908039834005,0.0,0.9376083304798332,1.957975995028391,100.0
15,ok,30.40994620323181,False,False,True,SWING,3,8,8,0.8078098367857711,-0.4017416196491914,23.41900000000564,4255.19700643505,0.0,1.080549468416754,2.2704920009709895,100.0
16,ok,29.604586839675903,True,True,True,DONE,3,9,8,1.1279711007657924,0.26809470565009585,-1.0,9324.081914535534,0.0,0.9471230972649727,1.916876015020534,100.0
17,ok,30.547807931900024,True,True,True,DONE,3,9,8,1.0796916740613036,0.26814382439322537,-1.0,5639.569375911489,0.0,0.9552703073786738,1.9004869941272775,100.0
18,ok,27.358040809631348,False,False,False,TRANSFER,2,7,8,0.31854327341582184,-0.4201026799914438,20.79400000000243,6132.737947621837,0.0,1.0967986005516568,2.9144980132696214,100.0
19,timeout,159596.40107131004,False,False,False,?,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
20,ok,107.77487063407898,False,False,False,TRANSFER,2,7,8,-0.10891938414513724,-0.42611590283795475,19.505000000000855,9344.453876024832,0.0,4.57028552169547,14.445799994282403,100.0
21,ok,84.82206726074219,False,False,False,TRANSFER,2,7,8,0.05348114171043201,-0.3587656680906006,18.483999999999607,11785.29177348998,0.0,3.803638130036122,11.846327972016283,100.0
22,ok,111.33448481559753,True,True,True,DONE,3,9,8,1.0847712734612933,0.2680772823503813,-1.0,9204.186416307264,0.0,3.5410093296201555,9.0469879982993,100.0
23,ok,41.503504514694214,False,False,False,TRANSFER,1,5,8,0.03551652827076521,-0.4107041965978434,14.996999999997128,7221.87995219175,0.0,2.264632286586567,6.70111597748473,100.0
24,ok,47.730868339538574,False,False,True,TRANSFER,3,8,8,0.3569479510912637,-0.39557705350241956,22.436000000004437,16982.209165636774,0.0,1.7435558389110684,4.961159999947996,100.0
25,ok,50.9227991104126,True,True,True,DONE,3,9,8,1.1327613907943026,0.2690839576394769,-1.0,8434.071053470034,0.0,1.619097558651748,6.433988994103859,100.0
26,ok,23.730360507965088,False,False,False,TRANSFER,2,6,8,0.7488515942700181,-0.4278846969982355,17.37299999999825,9891.4292511255,0.0,1.1282856157135308,3.0149480071850046,100.0
27,ok,31.217914581298828,False,False,True,TRANSFER,3,8,8,0.6168986542578987,-0.43346947653443213,21.9950000000039,8203.007168659284,0.0,1.1824838008060898,3.277759983902805,100.0
28,ok,28.031414270401,False,False,False,TRANSFER,2,6,8,1.3811827288151683,-0.4240210949781762,18.43599999999955,9730.502550255598,0.0,1.2738978303278092,3.439619997516276,100.0
29,ok,31.869401931762695,False,False,False,TRANSFER,2,7,8,0.434328305504751,-0.396926130133893,20.620000000002218,5497.7823781912175,0.0,1.2987286083964373,3.198686025571079,100.0
30,ok,32.88601779937744,True,True,True,DONE,3,9,8,1.0768081490771235,0.2681144939327639,-1.0,6976.309189697618,0.0,1.010488628135714,2.335983975790443,100.0
31,ok,31.51562261581421,False,False,False,TRANSFER,2,6,8,0.6480215864721488,-0.44462074924978595,17.432999999998323,7709.167107886582,0.0,1.484631370994495,5.113427995238454,100.0
32,ok,35.43120217323303,False,False,False,SWING,2,7,8,0.842747916091001,-0.43221338016236266,21.797000000003656,16631.759551219744,0.0,1.3432179338814838,2.9392760270275193,100.0
33,ok,20.73223304748535,False,False,False,TRANSFER,1,5,8,0.390355029607337,-0.4531208199222652,14.582999999997357,12736.220033917907,0.0,1.1712714943556541,3.4091979986988012,100.0
34,ok,33.007153272628784,True,True,True,DONE,3,9,8,1.068779346824584,0.2679626296129204,-1.0,8439.74339135748,0.0,1.032778603079402,2.0225880341604325,100.0
