seed,status,wall_s,success,upright,reached_top,state,n_climbed,mi,n_moves,dist,climb,fell_at,grf_pic,clear_min,ctrl_mean,ctrl_p99,qp_feas,e_mech,e_sq,cot
0,ok,85.17878651618958,False,False,False,SWING,2,6,8,0.49424180966617537,-0.39649416528294357,17.91199999999891,8344.356767077174,0.0,4.0692325707757115,10.10124608175829,100.0,4648.884526964425,722106.9760257758,10.199941449142402
1,ok,108.15761375427246,True,True,True,DONE,3,9,8,1.0620377316150194,0.26798271813198127,-1.0,3303.1692939801915,0.0,3.4666555020119625,7.5266530353110275,100.0,1856.2639896006879,389539.26268750714,1.8953446522772277
2,ok,129.76051235198975,True,True,True,DONE,3,9,8,0.9656235276207471,0.19395304644431188,-1.0,5778.853998953019,0.0,4.189333359971326,9.533011978492146,100.0,5145.401771879831,1095692.4790394197,5.778296911298871
3,ok,88.89809036254883,False,False,False,TRANSFER,2,7,8,0.1933456955099687,-0.4240407419339768,19.626000000001003,9326.564141715045,0.0,3.873220447828701,11.013450042810291,100.0,2335.7798953776705,791373.7437031993,13.100437794276484
4,ok,111.85774421691895,True,True,True,DONE,3,9,8,1.1154018398086836,0.2678003775256882,-1.0,8257.467590282995,0.0,3.7164290163330636,8.383332039229572,100.0,2219.029744009389,424731.9542533913,2.157347809348589
5,ok,109.17999935150146,True,True,True,DONE,3,9,8,1.0994264408738785,0.26809264422712,-1.0,10100.179313858183,0.0,3.434938899865116,7.470280955312774,100.0,2760.9321617388064,477636.4689165446,2.7231900989534856
6,ok,65.90834522247314,False,False,False,TRANSFER,2,7,8,-0.07421988307848915,-0.4102123064050778,20.281000000001804,10602.359182761651,0.0,2.742335580007042,7.447660015895966,100.0,3000.145825835411,825278.5502025757,nan
7,ok,77.08184051513672,False,False,True,TRANSFER,3,8,8,0.6672173551822581,-0.46053686165506574,22.547000000004573,7451.441219020864,0.0,2.9239325634196294,11.228326049167668,100.0,3648.942420555699,796904.769385785,5.930455848670028
8,ok,106.32649779319763,True,True,True,DONE,3,9,8,1.068615126840597,0.26798091198422147,-1.0,3761.1054234359653,0.0,3.4352391500584876,7.43749993853271,100.0,1782.071242876859,370368.1977019976,1.8083902026980816
9,ok,89.18220734596252,False,False,False,TRANSFER,2,7,8,-0.14500522656990278,-0.47157674148455186,18.979000000000212,5830.747602334028,0.0,3.802085662495862,12.78322798782028,100.0,3964.7499295743864,754976.5805914867,nan
10,ok,101.83924531936646,False,False,False,TRANSFER,2,7,8,0.11830256946580425,-0.2563697663597845,20.10500000000159,7133.618988607523,0.0,3.8807755798768944,10.968680049991239,100.0,5350.72285615698,1003392.7622109859,49.04634860524493
11,ok,179.9629783630371,False,False,False,TRANSFER,2,7,8,-0.308906520168193,-0.436701583446477,20.043000000001513,6767.115539895659,0.0,3.9660140314064107,12.980956027749917,100.0,5583.978656977104,845710.2709292505,nan
12,ok,210.78736448287964,False,False,True,DONE,3,9,8,0.5933995708692212,-0.3973864655643734,24.980000000007546,13561.111360593042,0.0,4.109489906535744,11.356560043059284,100.0,6768.7648671294455,847763.9920235743,12.369456024336575
13,ok,72.0445237159729,True,True,True,DONE,3,9,8,1.0853692933138723,0.2680648519908707,-1.0,11244.763449799924,0.0,2.302934117832223,7.568514004815358,100.0,2189.3977946797254,418593.54158200085,2.1874369639911566
14,ok,84.8663763999939,True,True,True,DONE,3,9,8,1.085740404034244,0.2680755560267948,-1.0,6708.195703555892,0.0,2.7547955959153345,8.996792009565977,100.0,1903.2639852500506,392613.27122356417,1.9009094556353234
15,ok,239.41430950164795,False,False,True,SWING,3,8,8,0.4892650880148215,-0.43003617028294283,24.121000000006497,4815.423000415338,0.0,2.9216054358816996,9.283219976350665,100.0,5812.311883120206,1138383.0648771222,12.882290359983525
16,ok,109.32125949859619,True,True,True,DONE,3,9,8,1.121314989079172,0.2681497737234998,-1.0,9324.081916448733,0.0,3.6031725277621183,8.271428002044557,100.0,1896.5634999120405,376194.95436015405,1.8341217522818296
17,ok,102.34695339202881,False,False,True,TRANSFER,3,8,8,0.5658106242066044,-0.44898095854564574,22.43000000000443,6877.252553643541,0.0,3.941601011515946,13.86765904026105,100.0,6144.198204965963,1009885.8477307052,11.775585772055738
18,ok,92.77505469322205,False,False,False,TRANSFER,2,7,8,0.5780371121282859,-0.44111757088405745,20.14600000000164,5664.237236880224,0.0,3.9502979652635024,10.998190043028439,100.0,3938.0533033854517,852314.3487329879,7.38778534857805
19,ok,110.17197465896606,False,False,False,TRANSFER,2,7,8,1.2719520653085163,-0.35208685096821035,20.985000000002664,14558.650889808323,0.0,4.218824578184541,13.47737992298785,100.0,5286.875677736016,936351.8470291778,4.507302999561803
20,ok,102.56266713142395,False,False,False,TRANSFER,2,7,8,1.2033919040257073,-0.43643778201026273,20.470000000002035,7000.81094459554,0.0,4.306870445254899,11.836039983900282,100.0,4660.190087605673,1150190.254030751,4.19937779379373
21,ok,79.67251586914062,False,False,False,TRANSFER,2,7,8,0.05348114171043201,-0.3587656680906006,18.483999999999607,11785.29177348998,0.0,3.6677067082326316,11.880887992447196,100.0,3911.849266318251,701680.4431807548,nan
22,ok,102.64907503128052,True,True,True,DONE,3,9,8,1.0847712734612933,0.2680772823503813,-1.0,9204.186416307264,0.0,3.354119507141313,8.259048024192449,100.0,1792.3930100939426,384707.2315013121,1.791774975242104
23,ok,84.89591550827026,False,False,False,TRANSFER,1,5,8,-0.010034849174431454,-0.45264911216274795,15.158999999997038,4971.291088774229,0.0,4.8516346004154025,18.342173937708143,100.0,4396.888293111996,1029014.2048925795,nan
24,ok,141.07231903076172,False,False,True,DONE,3,9,8,0.39103114013762164,-0.39036192739303033,24.822000000007353,16982.254438044016,0.0,4.890396837529107,14.5949439809192,100.0,5668.961759651613,998532.650379412,15.721015076503482
