seed,status,wall_s,success_func,success_strict,done,upright,box_held,dist,com_rmse_mm,ee_rmse_mm,ee_pic_mm,grf_pic,ctrl_mean,ctrl_p99,e_mech,e_sq,cot
0,ok,81.36460733413696,False,False,False,False,False,0.09002191052745681,91.72426076153103,143.31616683411522,896.0106828516365,6689.667754301519,4.474785407391051,16.22234204318371,1627.3907040912393,556725.9953285556,nan
1,ok,170.34164690971375,False,False,False,False,True,1.2411859114627264,70.07749320505127,76.25546922659663,657.8005652396155,18005.993197182506,5.6697459095140195,17.71632404415868,1467.6013079296151,798149.4202058428,1.2554996078069032
2,ok,415.8207788467407,True,False,True,True,True,3.060433263780782,34.9884836056785,54.39997234665869,70.59310721399318,6161.982816091765,5.006490785557809,14.381973998388258,1332.6867578459974,1516968.654723454,0.4623709042812409
3,ok,22.77164626121521,False,False,False,False,False,-0.5535770382211062,227.72392243036666,388.7153895496104,923.3419138905771,7091.757999173827,8.592902614900076,19.77513000601899,1580.3190604533772,342695.4211894442,nan
4,ok,23.216367721557617,False,False,False,False,False,-0.5404329232544063,290.42439502533256,452.20759631419753,914.7607162006818,12068.121814108774,8.649276616888605,22.418947974219936,2126.972538276685,487825.55858163105,nan
5,ok,22.586628198623657,False,False,False,False,True,-0.4953183674254009,181.98752276277426,250.98773481045717,679.8126946497595,6381.900722765119,6.293179113104364,19.911200026981533,1521.9368310844916,267209.846009068,nan
6,ok,290.28189039230347,False,False,False,False,True,2.4803816798791725,56.27870002578153,62.765021304500635,510.59863900883505,26811.339314533598,4.938074154001888,13.270823966013266,2083.928300250855,1348476.9733124285,0.8920918795200458
7,ok,21.68946361541748,False,False,False,False,True,-0.4160062926852672,149.7986904832065,148.6470697080393,378.80433719060227,7974.232055408741,6.095413367580685,20.417953938012932,1591.7906347009114,220620.6168928382,nan
8,ok,25.830816745758057,False,False,False,False,False,-0.3286428938106899,249.69066569963994,315.97406317815944,741.28079293342,6079.8291547935905,9.253639950627367,55.61208094586648,1327.1258677444912,335633.7142362134,nan
9,ok,351.09275674819946,False,False,False,False,True,2.5904352680390703,50.74767222170386,72.03550097895265,792.1237085682097,10766.627187680882,5.337235322258776,16.146311972988816,2467.7718799224103,1497124.6426731339,1.0115272699714088
10,ok,253.253564119339,False,False,False,False,False,2.1146127141864532,68.4969603533794,65.97228873487335,389.5094910548304,5734.604676815086,4.8642698754702804,14.30813498445785,1803.7178655780008,1213144.778496123,0.9056973487107126
11,ok,326.39299750328064,False,False,False,False,False,2.013040093867647,64.27880001868989,84.70082943388174,709.8820856669455,5711.465833378643,5.056751509583729,13.978160033002517,2736.0612661568953,1593116.5292512386,1.4431740849463635
12,ok,15.307476282119751,False,False,False,False,True,-0.46929051236663966,228.62963227567224,420.62027115768717,902.9856783403166,5667.551001401895,7.858308444906565,20.396219985559586,1303.5347864639753,270279.87950504886,nan
13,ok,393.7631163597107,True,False,True,True,True,3.056848345278737,34.94973467000399,54.35153390698173,71.40791017393175,2513.2612371309433,4.769724340203988,12.118302965536714,1285.8817391512641,1509000.1571005767,0.4466552717712072
14,ok,347.73260974884033,False,False,False,False,False,2.250374088129524,56.57846605372236,87.11623797624414,873.029121903694,6391.30253119217,4.933486645510982,12.750551998615272,2584.8481365940743,1559964.3161833107,1.2196231039616334
15,ok,13.987341403961182,False,False,False,False,False,-0.5325957421176203,246.05463902074604,537.3029168245146,912.5670996832475,6654.972424615664,7.630591641053192,19.636949989944647,1540.8365820667739,255685.87622777917,nan
16,ok,223.0960237979889,False,False,False,False,False,2.1025131437126254,52.8553805049803,59.810475291941344,332.9641601764377,15001.190990571286,4.921236883670171,13.357409962918604,1612.3681595164273,976278.4657339541,0.8142744772433606
17,ok,28.824618577957153,False,False,False,False,False,-0.6643593809583521,224.3218675314968,381.7570001402693,880.6756160901436,5850.582432725692,8.07689884422567,18.840417041210443,1465.837260001798,360468.4690086042,nan
18,ok,19.52653169631958,False,False,False,False,False,-0.5668090972612897,239.83193926345012,406.4220391883515,772.7670918126908,6639.479237368018,8.542767182361054,29.966896008700132,1026.8087423954764,286290.5105054503,nan
19,ok,396.5866663455963,True,False,True,True,True,3.059419670524891,34.933312880246085,54.35045995730199,71.1703235918051,3356.1673771066075,4.788808712190091,11.338933028746391,1362.884899188743,1527278.0762334606,0.47300469713469734
