mag,dir,seed,status,wall_s,applied,eligible,recovered,xi_max_post,t_reband,n_recov_post,dist,fell_at,success
0.0,+y,0,ok,47.079318046569824,True,True,True,0.25419242753997523,1.6520000000000001,19.0,3.1417870530112926,-1.0,True
0.0,+y,1,ok,58.71098208427429,True,True,True,0.21013157254819304,1.262,14.0,3.49554422009583,-1.0,True
0.0,+y,2,ok,63.124340534210205,True,True,True,0.29440324705443865,0.0,11.0,3.765533763605227,-1.0,True
0.0,+y,3,ok,72.7927634716034,True,True,True,0.26679953982161864,0.0,12.0,3.627091659737189,-1.0,True
0.0,+y,4,ok,73.44786381721497,True,True,True,0.24722428382357411,0.0,14.0,3.1318143599073007,23.73100000000602,False
0.0,+y,5,ok,67.8213403224945,True,True,True,0.19118409439092646,1.2670000000000001,15.0,3.365368653062839,-1.0,True
0.0,+y,6,ok,72.17961835861206,True,True,True,0.23126327233624705,0.483,14.0,3.365426952476453,-1.0,True
0.0,+y,7,ok,76.80929756164551,True,True,True,0.22096640177203272,0.0,17.0,3.4687579447747234,-1.0,True
0.0,+y,8,ok,69.00126481056213,True,True,True,0.2792197927338038,1.121,14.0,3.829851956838405,-1.0,True
0.0,+y,9,ok,64.30841183662415,True,True,True,0.2044528193841394,0.225,16.0,3.2154497780161715,-1.0,True
200.0,+y,0,ok,70.6252088546753,True,True,True,0.18392617567368347,0.0,18.0,3.029797048203686,-1.0,True
200.0,+y,1,ok,66.85837864875793,True,True,True,0.14981932360397587,0.0,14.0,3.5259048451237676,-1.0,True
200.0,+y,2,ok,72.01124286651611,True,True,True,0.267782968626373,0.0,17.0,3.225255200248264,-1.0,True
200.0,+y,3,ok,69.0460114479065,True,True,True,0.17259171254015007,0.0,15.0,3.601422188338606,-1.0,True
200.0,+y,4,ok,73.34435033798218,True,True,True,0.2901122753043322,1.758,14.0,3.406817970885558,-1.0,True
200.0,+y,5,ok,31.102529764175415,True,True,True,0.1957608108409387,0.0,7.0,0.8001688794001136,11.363999999999141,False
200.0,+y,6,ok,66.04898953437805,True,True,True,0.20741639710139423,0.0,11.0,3.802760573055804,-1.0,True
200.0,+y,7,ok,64.57690215110779,True,True,True,0.23653594092559532,1.3980000000000001,13.0,3.516189817348294,-1.0,True
200.0,+y,8,ok,66.87192869186401,True,True,True,0.33175756150283797,0.0,20.0,3.2003483318947645,23.572000000005826,False
200.0,+y,9,ok,56.78568387031555,True,True,True,0.32806208924613095,0.0,13.0,3.4262440235108573,-1.0,True
300.0,+y,0,ok,54.103405714035034,True,True,True,0.20758427577586822,0.0,18.0,3.0867052210092325,-1.0,True
300.0,+y,1,ok,54.999921798706055,True,True,True,0.18389635280562058,0.0,15.0,3.86095605869772,24.760000000007278,False
300.0,+y,2,ok,57.02704310417175,True,True,True,0.3288993746408517,0.161,16.0,3.4506207823023187,-1.0,True
300.0,+y,3,ok,59.4080548286438,True,True,True,0.26619935773849396,0.201,12.0,3.6989775708449404,-1.0,True
300.0,+y,4,ok,49.02294969558716,True,True,True,0.18874653158760443,1.274,17.0,3.130600613425295,-1.0,True
300.0,+y,5,ok,33.98574137687683,True,True,True,0.24098370908893493,0.0,11.0,1.6610035627832183,17.497999999998402,False
300.0,+y,6,ok,51.524434089660645,True,True,True,0.26403727802179855,0.0,11.0,3.7178564431134578,-1.0,True
300.0,+y,7,ok,48.15607738494873,True,True,True,0.2240543098242266,1.5190000000000001,15.0,3.4618857074690923,-1.0,True
300.0,+y,8,ok,47.832223892211914,True,True,True,0.2552005445222745,0.203,18.0,3.2968444723427974,-1.0,True
300.0,+y,9,ok,49.91653347015381,True,True,True,0.26652689953892456,0.0,17.0,3.4354516246112743,-1.0,True
400.0,+y,0,ok,51.833317041397095,True,True,True,0.20682086749729559,0.625,16.0,3.4330094464521728,-1.0,True
400.0,+y,1,ok,51.60162281990051,True,True,True,0.2450409475011738,0.5640000000000001,21.0,3.1366906995391903,-1.0,True
400.0,+y,2,ok,38.28687047958374,True,True,True,0.23531517315366804,0.159,11.0,1.9950373343667482,18.61799999999977,False
400.0,+y,3,ok,50.479209423065186,True,True,True,0.20995096628860255,0.201,15.0,3.4776262094152752,-1.0,True
400.0,+y,4,ok,48.384241819381714,True,True,True,0.26107195652271925,2.362,21.0,2.8343177354643614,-1.0,False
400.0,+y,5,ok,43.71381163597107,True,True,True,0.39413379092370043,0.225,18.0,3.358446032369521,21.757000000003607,False
400.0,+y,6,ok,48.37578773498535,True,True,True,0.19757870106755815,0.0,13.0,3.6650185667253807,24.110000000006483,False
400.0,+y,7,ok,8264.52522945404,True,True,True,0.21438148689970682,4.477,14.0,3.3796124705203883,-1.0,True
400.0,+y,8,ok,18671.695141792297,True,True,True,0.2301896067786929,1.578,13.0,3.5439730311417037,-1.0,True
400.0,+y,9,ok,79.81869125366211,True,True,True,0.477815443049848,0.0,15.0,1.9909851567985952,10.509999999999614,False
500.0,+y,0,ok,3501.2334043979645,True,True,False,0.9853455246694955,nan,9.0,0.8573445516555827,6.458000000000491,False
500.0,+y,1,ok,36.39253091812134,True,True,False,1.021947498179787,nan,9.0,0.8681743641560329,6.489000000000502,False
500.0,+y,2,ok,156.62175154685974,True,True,True,0.21622749399143876,0.157,12.0,3.562554911594323,-1.0,True
500.0,+y,3,ok,16996.75843143463,True,True,True,0.3989577346232877,1.7830000000000001,19.0,2.8279145501968004,-1.0,False
500.0,+y,4,ok,53.2658371925354,True,True,True,0.27055084826728737,0.251,14.0,3.2996709412178244,-1.0,True
500.0,+y,5,ok,63.79282212257385,True,True,True,0.20482144915325654,1.449,14.0,3.5442520006422895,-1.0,True
500.0,+y,6,ok,56.09422993659973,True,True,True,0.18555975711017994,0.17300000000000001,11.0,3.567410157169728,-1.0,True
500.0,+y,7,ok,55.74786400794983,True,True,True,0.23852632419200293,0.215,12.0,3.6777633056832633,-1.0,True
500.0,+y,8,ok,56.177584171295166,True,True,True,0.21019396057349,0.197,13.0,3.3500429871636945,-1.0,True
500.0,+y,9,ok,50.41145873069763,True,True,True,0.1930690186513265,0.241,15.0,3.3991625665897303,-1.0,True
200.0,-y,0,ok,51.872992753982544,True,True,True,0.21812864730067943,2.052,14.0,3.463197643092997,-1.0,True
